Column,trench,unit,zone,liters,total_flot,species,NISP
109,FAN,121,VII,266,129.7,lens_sp,3
110,FAN,121,VII,266,129.7,lens_sp,NA
111,FAN,121,VII,266,129.7,liliaceae_sp,NA
112,FAN,121,VII,266,129.7,lithospermum_arvense,6
113,FAN,121,VII,266,129.7,lithospermum_arvense,NA
114,FAN,121,VII,266,129.7,malva_parviflora,NA
115,FAN,121,VII,266,129.7,medicago_sp,NA
116,FAN,121,VII,266,129.7,cf_medicago_frag,NA
117,FAN,121,VII,266,129.7,monocotylidonae_capsules,NA
118,FAN,121,VII,266,129.7,phalaris_sp,NA
119,FAN,121,VII,266,129.7,pistacia_cf_lentiscus,NA
120,FAN,121,VII,266,129.7,pistacia_cf_lentiscus,4
121,FAN,121,VII,266,129.7,pisum_cf_elatius,NA
122,FAN,121,VII,266,129.7,pisum_vicia_pisum_of_all_sizes,NA
123,FAN,121,VII,266,129.7,polygonum_sp,NA
124,FAN,121,VII,266,129.7,prunus_amygdalus,3
125,FAN,121,VII,266,129.7,prunus_amygdalus,NA
126,FAN,121,VII,266,129.7,pyrus_amygdaloformis,NA
127,FAN,121,VII,266,129.7,pyrus_amygdaloformis,NA
128,FAN,121,VII,266,129.7,rachis_frag_indet,NA
129,FAN,121,VII,266,129.7,schoenus_nigricans,NA
130,FAN,121,VII,266,129.7,seed_indet,1
131,FAN,121,VII,266,129.7,indet_frag,NA
132,FAN,121,VII,266,129.7,sp_no_1,NA
133,FAN,121,VII,266,129.7,spikelet_fork_indet_frags,1
134,FAN,121,VII,266,129.7,teucrium_sp,NA
135,FAN,121,VII,266,129.7,triticum_sp,NA
136,FAN,121,VII,266,129.7,t_cf_aestivum_durum,NA
137,FAN,121,VII,266,129.7,triticum_turgidum_ssp_dicoccum,12
138,FAN,121,VII,266,129.7,triticum_turgidum_ssp_dicoccum,4
139,FAN,121,VII,266,129.7,triticum_turgidum_ssp_dicoccum,NA
140,FAN,121,VII,266,129.7,triticum_turgidum_ssp_dicoccum,NA
141,FAN,121,VII,266,129.7,triticum_turgidum_ssp_dicoccum,NA
142,FAN,121,VII,266,129.7,triticum_monococcum,NA
143,FAN,121,VII,266,129.7,triticum_monococcum,2
144,FAN,121,VII,266,129.7,triticum_monococcum,NA
145,FAN,121,VII,266,129.7,triticum_monococcum,NA
146,FAN,121,VII,266,129.7,uthospennum_dlicinale,NA
147,FAN,121,VII,266,129.7,vicia_ervilia,NA
148,FAN,121,VII,266,129.7,vicia_lathyrus_sp,NA
149,FAN,121,VII,266,129.7,vitis_vinifera_ssp_sylvestris,NA
150,FAN,121,VII,266,129.7,vitis_vinifera_ssp_sylvestris,NA
151,FAN,121,VII,266,129.7,triticum_sp,12
152,FAN,121,VII,266,129.7,hordeum_vulgare_ssp,4
153,FAN,122,VII,299,149.9,adonis_sp,NA
154,FAN,122,VII,299,149.9,alkanna_sp,2
155,FAN,122,VII,299,149.9,anchusa_sp,NA
156,FAN,122,VII,299,149.9,astragalus_frigonella_sp,NA
157,FAN,122,VII,299,149.9,avena_sp,NA
158,FAN,122,VII,299,149.9,avena_sp,NA
159,FAN,122,VII,299,149.9,boraginaceae_sp,NA
160,FAN,122,VII,299,149.9,calendula_sp,NA
161,FAN,122,VII,299,149.9,capparis_sp,NA
162,FAN,122,VII,299,149.9,celtis_sp_tournifortii,NA
163,FAN,122,VII,299,149.9,cf_colchicum_polygonatum,NA
164,FAN,122,VII,299,149.9,coriandrum_sp,NA
165,FAN,122,VII,299,149.9,cruciferae_sp_seeds_capsules,1
166,FAN,122,VII,299,149.9,culm_nodes_indet_frags,NA
167,FAN,122,VII,299,149.9,echium_sp,NA
168,FAN,122,VII,299,149.9,erodium_sp,NA
169,FAN,122,VII,299,149.9,fumaria_sp,NA
170,FAN,122,VII,299,149.9,gallium_sp,NA
171,FAN,122,VII,299,149.9,glume_base_indet,7
172,FAN,122,VII,299,149.9,gramineae_indet,NA
173,FAN,122,VII,299,149.9,gramineae_indet,5
174,FAN,122,VII,299,149.9,hordeum_vulgare_ssp,NA
175,FAN,122,VII,299,149.9,hordeum_vulgare_ssp,8
176,FAN,122,VII,299,149.9,hordeum_vulgare_ssp,20
177,FAN,122,VII,299,149.9,hordeum_vulgare_ssp,NA
178,FAN,122,VII,299,149.9,hordeum_vulgare_ssp,NA
179,FAN,122,VII,299,149.9,hordeum_vulgare_ssp,NA
180,FAN,122,VII,299,149.9,indet_frag,NA
181,FAN,122,VII,299,149.9,l_officinale,NA
182,FAN,122,VII,299,149.9,lathyrus,1
183,FAN,122,VII,299,149.9,leguminosae,NA
184,FAN,122,VII,299,149.9,leguminosae,NA
185,FAN,122,VII,299,149.9,lens_sp,1
186,FAN,122,VII,299,149.9,lens_sp,NA
187,FAN,122,VII,299,149.9,liliaceae_sp,NA
188,FAN,122,VII,299,149.9,lithospermum_arvense,19
189,FAN,122,VII,299,149.9,lithospermum_arvense,NA
190,FAN,122,VII,299,149.9,malva_parviflora,NA
191,FAN,122,VII,299,149.9,medicago_sp,NA
192,FAN,122,VII,299,149.9,cf_medicago_frag,NA
193,FAN,122,VII,299,149.9,monocotylidonae_capsules,NA
194,FAN,122,VII,299,149.9,phalaris_sp,NA
195,FAN,122,VII,299,149.9,pistacia_cf_lentiscus,NA
196,FAN,122,VII,299,149.9,pistacia_cf_lentiscus,NA
197,FAN,122,VII,299,149.9,pisum_cf_elatius,NA
198,FAN,122,VII,299,149.9,pisum_vicia_pisum_of_all_sizes,NA
199,FAN,122,VII,299,149.9,polygonum_sp,NA
200,FAN,122,VII,299,149.9,prunus_amygdalus,7
201,FAN,122,VII,299,149.9,prunus_amygdalus,NA
202,FAN,122,VII,299,149.9,pyrus_amygdaloformis,NA
203,FAN,122,VII,299,149.9,pyrus_amygdaloformis,NA
204,FAN,122,VII,299,149.9,rachis_frag_indet,1
205,FAN,122,VII,299,149.9,schoenus_nigricans,NA
206,FAN,122,VII,299,149.9,seed_indet,NA
207,FAN,122,VII,299,149.9,indet_frag,NA
208,FAN,122,VII,299,149.9,sp_no_1,NA
209,FAN,122,VII,299,149.9,spikelet_fork_indet_frags,6
210,FAN,122,VII,299,149.9,teucrium_sp,NA
211,FAN,122,VII,299,149.9,triticum_sp,NA
212,FAN,122,VII,299,149.9,t_cf_aestivum_durum,NA
213,FAN,122,VII,299,149.9,triticum_turgidum_ssp_dicoccum,21
214,FAN,122,VII,299,149.9,triticum_turgidum_ssp_dicoccum,3
215,FAN,122,VII,299,149.9,triticum_turgidum_ssp_dicoccum,41
216,FAN,122,VII,299,149.9,triticum_turgidum_ssp_dicoccum,3
217,FAN,122,VII,299,149.9,triticum_turgidum_ssp_dicoccum,2
218,FAN,122,VII,299,149.9,triticum_monococcum,19
219,FAN,122,VII,299,149.9,triticum_monococcum,1
220,FAN,122,VII,299,149.9,triticum_monococcum,4
221,FAN,122,VII,299,149.9,triticum_monococcum,NA
222,FAN,122,VII,299,149.9,uthospennum_dlicinale,NA
223,FAN,122,VII,299,149.9,vicia_ervilia,NA
224,FAN,122,VII,299,149.9,vicia_lathyrus_sp,NA
225,FAN,122,VII,299,149.9,vitis_vinifera_ssp_sylvestris,NA
226,FAN,122,VII,299,149.9,vitis_vinifera_ssp_sylvestris,NA
227,FAN,122,VII,299,149.9,triticum_sp,90
228,FAN,122,VII,299,149.9,hordeum_vulgare_ssp,8
229,FAN,123,VII,202,180.4,adonis_sp,NA
230,FAN,123,VII,202,180.4,alkanna_sp,NA
231,FAN,123,VII,202,180.4,anchusa_sp,NA
232,FAN,123,VII,202,180.4,astragalus_frigonella_sp,NA
233,FAN,123,VII,202,180.4,avena_sp,NA
234,FAN,123,VII,202,180.4,avena_sp,NA
235,FAN,123,VII,202,180.4,boraginaceae_sp,NA
236,FAN,123,VII,202,180.4,calendula_sp,NA
237,FAN,123,VII,202,180.4,capparis_sp,NA
238,FAN,123,VII,202,180.4,celtis_sp_tournifortii,NA
239,FAN,123,VII,202,180.4,cf_colchicum_polygonatum,NA
240,FAN,123,VII,202,180.4,coriandrum_sp,NA
241,FAN,123,VII,202,180.4,cruciferae_sp_seeds_capsules,NA
242,FAN,123,VII,202,180.4,culm_nodes_indet_frags,NA
243,FAN,123,VII,202,180.4,echium_sp,NA
244,FAN,123,VII,202,180.4,erodium_sp,NA
245,FAN,123,VII,202,180.4,fumaria_sp,NA
246,FAN,123,VII,202,180.4,gallium_sp,NA
247,FAN,123,VII,202,180.4,glume_base_indet,NA
248,FAN,123,VII,202,180.4,gramineae_indet,NA
249,FAN,123,VII,202,180.4,gramineae_indet,NA
250,FAN,123,VII,202,180.4,hordeum_vulgare_ssp,NA
251,FAN,123,VII,202,180.4,hordeum_vulgare_ssp,3
252,FAN,123,VII,202,180.4,hordeum_vulgare_ssp,6
253,FAN,123,VII,202,180.4,hordeum_vulgare_ssp,NA
254,FAN,123,VII,202,180.4,hordeum_vulgare_ssp,NA
255,FAN,123,VII,202,180.4,hordeum_vulgare_ssp,NA
256,FAN,123,VII,202,180.4,indet_frag,1
257,FAN,123,VII,202,180.4,l_officinale,NA
258,FAN,123,VII,202,180.4,lathyrus,1
259,FAN,123,VII,202,180.4,leguminosae,1
260,FAN,123,VII,202,180.4,leguminosae,NA
261,FAN,123,VII,202,180.4,lens_sp,NA
262,FAN,123,VII,202,180.4,lens_sp,NA
263,FAN,123,VII,202,180.4,liliaceae_sp,NA
264,FAN,123,VII,202,180.4,lithospermum_arvense,3
265,FAN,123,VII,202,180.4,lithospermum_arvense,NA
266,FAN,123,VII,202,180.4,malva_parviflora,NA
267,FAN,123,VII,202,180.4,medicago_sp,NA
268,FAN,123,VII,202,180.4,cf_medicago_frag,NA
269,FAN,123,VII,202,180.4,monocotylidonae_capsules,NA
270,FAN,123,VII,202,180.4,phalaris_sp,NA
271,FAN,123,VII,202,180.4,pistacia_cf_lentiscus,NA
272,FAN,123,VII,202,180.4,pistacia_cf_lentiscus,NA
273,FAN,123,VII,202,180.4,pisum_cf_elatius,NA
274,FAN,123,VII,202,180.4,pisum_vicia_pisum_of_all_sizes,NA
275,FAN,123,VII,202,180.4,polygonum_sp,NA
276,FAN,123,VII,202,180.4,prunus_amygdalus,13
277,FAN,123,VII,202,180.4,prunus_amygdalus,NA
278,FAN,123,VII,202,180.4,pyrus_amygdaloformis,NA
279,FAN,123,VII,202,180.4,pyrus_amygdaloformis,NA
280,FAN,123,VII,202,180.4,rachis_frag_indet,NA
281,FAN,123,VII,202,180.4,schoenus_nigricans,NA
282,FAN,123,VII,202,180.4,seed_indet,NA
283,FAN,123,VII,202,180.4,indet_frag,NA
284,FAN,123,VII,202,180.4,sp_no_1,NA
285,FAN,123,VII,202,180.4,spikelet_fork_indet_frags,3
286,FAN,123,VII,202,180.4,teucrium_sp,NA
287,FAN,123,VII,202,180.4,triticum_sp,NA
288,FAN,123,VII,202,180.4,t_cf_aestivum_durum,NA
289,FAN,123,VII,202,180.4,triticum_turgidum_ssp_dicoccum,5
290,FAN,123,VII,202,180.4,triticum_turgidum_ssp_dicoccum,2
291,FAN,123,VII,202,180.4,triticum_turgidum_ssp_dicoccum,NA
292,FAN,123,VII,202,180.4,triticum_turgidum_ssp_dicoccum,NA
293,FAN,123,VII,202,180.4,triticum_turgidum_ssp_dicoccum,NA
294,FAN,123,VII,202,180.4,triticum_monococcum,NA
295,FAN,123,VII,202,180.4,triticum_monococcum,NA
296,FAN,123,VII,202,180.4,triticum_monococcum,NA
297,FAN,123,VII,202,180.4,triticum_monococcum,NA
298,FAN,123,VII,202,180.4,uthospennum_dlicinale,NA
299,FAN,123,VII,202,180.4,vicia_ervilia,NA
300,FAN,123,VII,202,180.4,vicia_lathyrus_sp,1
301,FAN,123,VII,202,180.4,vitis_vinifera_ssp_sylvestris,NA
302,FAN,123,VII,202,180.4,vitis_vinifera_ssp_sylvestris,NA
303,FAN,123,VII,202,180.4,triticum_sp,5
304,FAN,123,VII,202,180.4,hordeum_vulgare_ssp,3
305,FAN,124,VII,29,255.6,adonis_sp,NA
306,FAN,124,VII,29,255.6,alkanna_sp,NA
307,FAN,124,VII,29,255.6,anchusa_sp,NA
308,FAN,124,VII,29,255.6,astragalus_frigonella_sp,NA
309,FAN,124,VII,29,255.6,avena_sp,NA
310,FAN,124,VII,29,255.6,avena_sp,NA
311,FAN,124,VII,29,255.6,boraginaceae_sp,NA
312,FAN,124,VII,29,255.6,calendula_sp,NA
313,FAN,124,VII,29,255.6,capparis_sp,NA
314,FAN,124,VII,29,255.6,celtis_sp_tournifortii,NA
315,FAN,124,VII,29,255.6,cf_colchicum_polygonatum,NA
316,FAN,124,VII,29,255.6,coriandrum_sp,NA
317,FAN,124,VII,29,255.6,cruciferae_sp_seeds_capsules,NA
318,FAN,124,VII,29,255.6,culm_nodes_indet_frags,NA
319,FAN,124,VII,29,255.6,echium_sp,NA
320,FAN,124,VII,29,255.6,erodium_sp,NA
321,FAN,124,VII,29,255.6,fumaria_sp,NA
322,FAN,124,VII,29,255.6,gallium_sp,NA
323,FAN,124,VII,29,255.6,glume_base_indet,NA
324,FAN,124,VII,29,255.6,gramineae_indet,NA
325,FAN,124,VII,29,255.6,gramineae_indet,NA
326,FAN,124,VII,29,255.6,hordeum_vulgare_ssp,NA
327,FAN,124,VII,29,255.6,hordeum_vulgare_ssp,NA
328,FAN,124,VII,29,255.6,hordeum_vulgare_ssp,NA
329,FAN,124,VII,29,255.6,hordeum_vulgare_ssp,NA
330,FAN,124,VII,29,255.6,hordeum_vulgare_ssp,NA
331,FAN,124,VII,29,255.6,hordeum_vulgare_ssp,NA
332,FAN,124,VII,29,255.6,indet_frag,NA
333,FAN,124,VII,29,255.6,l_officinale,NA
334,FAN,124,VII,29,255.6,lathyrus,NA
335,FAN,124,VII,29,255.6,leguminosae,NA
336,FAN,124,VII,29,255.6,leguminosae,NA
337,FAN,124,VII,29,255.6,lens_sp,1
338,FAN,124,VII,29,255.6,lens_sp,NA
339,FAN,124,VII,29,255.6,liliaceae_sp,NA
340,FAN,124,VII,29,255.6,lithospermum_arvense,3
341,FAN,124,VII,29,255.6,lithospermum_arvense,NA
342,FAN,124,VII,29,255.6,malva_parviflora,NA
343,FAN,124,VII,29,255.6,medicago_sp,NA
344,FAN,124,VII,29,255.6,cf_medicago_frag,NA
345,FAN,124,VII,29,255.6,monocotylidonae_capsules,NA
346,FAN,124,VII,29,255.6,phalaris_sp,NA
347,FAN,124,VII,29,255.6,pistacia_cf_lentiscus,NA
348,FAN,124,VII,29,255.6,pistacia_cf_lentiscus,NA
349,FAN,124,VII,29,255.6,pisum_cf_elatius,NA
350,FAN,124,VII,29,255.6,pisum_vicia_pisum_of_all_sizes,NA
351,FAN,124,VII,29,255.6,polygonum_sp,NA
352,FAN,124,VII,29,255.6,prunus_amygdalus,10
353,FAN,124,VII,29,255.6,prunus_amygdalus,NA
354,FAN,124,VII,29,255.6,pyrus_amygdaloformis,NA
355,FAN,124,VII,29,255.6,pyrus_amygdaloformis,NA
356,FAN,124,VII,29,255.6,rachis_frag_indet,NA
357,FAN,124,VII,29,255.6,schoenus_nigricans,NA
358,FAN,124,VII,29,255.6,seed_indet,NA
359,FAN,124,VII,29,255.6,indet_frag,1
360,FAN,124,VII,29,255.6,sp_no_1,NA
361,FAN,124,VII,29,255.6,spikelet_fork_indet_frags,NA
362,FAN,124,VII,29,255.6,teucrium_sp,NA
363,FAN,124,VII,29,255.6,triticum_sp,NA
364,FAN,124,VII,29,255.6,t_cf_aestivum_durum,NA
365,FAN,124,VII,29,255.6,triticum_turgidum_ssp_dicoccum,5
366,FAN,124,VII,29,255.6,triticum_turgidum_ssp_dicoccum,NA
367,FAN,124,VII,29,255.6,triticum_turgidum_ssp_dicoccum,NA
368,FAN,124,VII,29,255.6,triticum_turgidum_ssp_dicoccum,NA
369,FAN,124,VII,29,255.6,triticum_turgidum_ssp_dicoccum,NA
370,FAN,124,VII,29,255.6,triticum_monococcum,NA
371,FAN,124,VII,29,255.6,triticum_monococcum,NA
372,FAN,124,VII,29,255.6,triticum_monococcum,NA
373,FAN,124,VII,29,255.6,triticum_monococcum,NA
374,FAN,124,VII,29,255.6,uthospennum_dlicinale,NA
375,FAN,124,VII,29,255.6,vicia_ervilia,NA
376,FAN,124,VII,29,255.6,vicia_lathyrus_sp,NA
377,FAN,124,VII,29,255.6,vitis_vinifera_ssp_sylvestris,NA
378,FAN,124,VII,29,255.6,vitis_vinifera_ssp_sylvestris,NA
379,FAN,124,VII,29,255.6,triticum_sp,5
380,FAN,124,VII,29,255.6,hordeum_vulgare_ssp,0
381,FAN,125,VII,79,44.3,adonis_sp,NA
382,FAN,125,VII,79,44.3,alkanna_sp,1
383,FAN,125,VII,79,44.3,anchusa_sp,NA
384,FAN,125,VII,79,44.3,astragalus_frigonella_sp,NA
385,FAN,125,VII,79,44.3,avena_sp,NA
386,FAN,125,VII,79,44.3,avena_sp,NA
387,FAN,125,VII,79,44.3,boraginaceae_sp,NA
388,FAN,125,VII,79,44.3,calendula_sp,NA
389,FAN,125,VII,79,44.3,capparis_sp,NA
390,FAN,125,VII,79,44.3,celtis_sp_tournifortii,NA
391,FAN,125,VII,79,44.3,cf_colchicum_polygonatum,NA
392,FAN,125,VII,79,44.3,coriandrum_sp,NA
393,FAN,125,VII,79,44.3,cruciferae_sp_seeds_capsules,NA
394,FAN,125,VII,79,44.3,culm_nodes_indet_frags,NA
395,FAN,125,VII,79,44.3,echium_sp,NA
396,FAN,125,VII,79,44.3,erodium_sp,NA
397,FAN,125,VII,79,44.3,fumaria_sp,NA
398,FAN,125,VII,79,44.3,gallium_sp,NA
399,FAN,125,VII,79,44.3,glume_base_indet,NA
400,FAN,125,VII,79,44.3,gramineae_indet,NA
401,FAN,125,VII,79,44.3,gramineae_indet,NA
402,FAN,125,VII,79,44.3,hordeum_vulgare_ssp,NA
403,FAN,125,VII,79,44.3,hordeum_vulgare_ssp,NA
404,FAN,125,VII,79,44.3,hordeum_vulgare_ssp,NA
405,FAN,125,VII,79,44.3,hordeum_vulgare_ssp,NA
406,FAN,125,VII,79,44.3,hordeum_vulgare_ssp,NA
407,FAN,125,VII,79,44.3,hordeum_vulgare_ssp,NA
408,FAN,125,VII,79,44.3,indet_frag,NA
409,FAN,125,VII,79,44.3,l_officinale,NA
410,FAN,125,VII,79,44.3,lathyrus,NA
411,FAN,125,VII,79,44.3,leguminosae,NA
412,FAN,125,VII,79,44.3,leguminosae,NA
413,FAN,125,VII,79,44.3,lens_sp,NA
414,FAN,125,VII,79,44.3,lens_sp,NA
415,FAN,125,VII,79,44.3,liliaceae_sp,NA
416,FAN,125,VII,79,44.3,lithospermum_arvense,1
417,FAN,125,VII,79,44.3,lithospermum_arvense,NA
418,FAN,125,VII,79,44.3,malva_parviflora,NA
419,FAN,125,VII,79,44.3,medicago_sp,NA
420,FAN,125,VII,79,44.3,cf_medicago_frag,NA
421,FAN,125,VII,79,44.3,monocotylidonae_capsules,NA
422,FAN,125,VII,79,44.3,phalaris_sp,NA
423,FAN,125,VII,79,44.3,pistacia_cf_lentiscus,NA
424,FAN,125,VII,79,44.3,pistacia_cf_lentiscus,NA
425,FAN,125,VII,79,44.3,pisum_cf_elatius,NA
426,FAN,125,VII,79,44.3,pisum_vicia_pisum_of_all_sizes,NA
427,FAN,125,VII,79,44.3,polygonum_sp,NA
428,FAN,125,VII,79,44.3,prunus_amygdalus,6
429,FAN,125,VII,79,44.3,prunus_amygdalus,NA
430,FAN,125,VII,79,44.3,pyrus_amygdaloformis,NA
431,FAN,125,VII,79,44.3,pyrus_amygdaloformis,NA
432,FAN,125,VII,79,44.3,rachis_frag_indet,NA
433,FAN,125,VII,79,44.3,schoenus_nigricans,NA
434,FAN,125,VII,79,44.3,seed_indet,NA
435,FAN,125,VII,79,44.3,indet_frag,NA
436,FAN,125,VII,79,44.3,sp_no_1,NA
437,FAN,125,VII,79,44.3,spikelet_fork_indet_frags,2
438,FAN,125,VII,79,44.3,teucrium_sp,NA
439,FAN,125,VII,79,44.3,triticum_sp,NA
440,FAN,125,VII,79,44.3,t_cf_aestivum_durum,NA
441,FAN,125,VII,79,44.3,triticum_turgidum_ssp_dicoccum,4
442,FAN,125,VII,79,44.3,triticum_turgidum_ssp_dicoccum,NA
443,FAN,125,VII,79,44.3,triticum_turgidum_ssp_dicoccum,1
444,FAN,125,VII,79,44.3,triticum_turgidum_ssp_dicoccum,NA
445,FAN,125,VII,79,44.3,triticum_turgidum_ssp_dicoccum,NA
446,FAN,125,VII,79,44.3,triticum_monococcum,NA
447,FAN,125,VII,79,44.3,triticum_monococcum,NA
448,FAN,125,VII,79,44.3,triticum_monococcum,NA
449,FAN,125,VII,79,44.3,triticum_monococcum,NA
450,FAN,125,VII,79,44.3,uthospennum_dlicinale,NA
451,FAN,125,VII,79,44.3,vicia_ervilia,NA
452,FAN,125,VII,79,44.3,vicia_lathyrus_sp,NA
453,FAN,125,VII,79,44.3,vitis_vinifera_ssp_sylvestris,NA
454,FAN,125,VII,79,44.3,vitis_vinifera_ssp_sylvestris,NA
455,FAN,125,VII,79,44.3,triticum_sp,5
456,FAN,125,VII,79,44.3,hordeum_vulgare_ssp,0
457,FAN,126,VII,29,83.5,adonis_sp,NA
458,FAN,126,VII,29,83.5,alkanna_sp,NA
