Column,trench,unit,zone,liters,total_flot,species,NISP
1,FAN,120,VII,266,92.6,adonis_sp,NA
2,FAN,120,VII,266,92.6,alkanna_sp,2
3,FAN,120,VII,266,92.6,anchusa_sp,NA
4,FAN,120,VII,266,92.6,astragalus_frigonella_sp,NA
5,FAN,120,VII,266,92.6,avena_sp,NA
6,FAN,120,VII,266,92.6,avena_sp,NA
7,FAN,120,VII,266,92.6,boraginaceae_sp,NA
8,FAN,120,VII,266,92.6,calendula_sp,NA
9,FAN,120,VII,266,92.6,capparis_sp,NA
10,FAN,120,VII,266,92.6,celtis_sp_tournifortii,NA
11,FAN,120,VII,266,92.6,cf_colchicum_polygonatum,NA
12,FAN,120,VII,266,92.6,coriandrum_sp,NA
13,FAN,120,VII,266,92.6,cruciferae_sp_seeds_capsules,NA
14,FAN,120,VII,266,92.6,culm_nodes_indet_frags,NA
15,FAN,120,VII,266,92.6,echium_sp,NA
16,FAN,120,VII,266,92.6,erodium_sp,NA
17,FAN,120,VII,266,92.6,fumaria_sp,NA
18,FAN,120,VII,266,92.6,gallium_sp,NA
19,FAN,120,VII,266,92.6,glume_base_indet,1
20,FAN,120,VII,266,92.6,gramineae_indet,NA
21,FAN,120,VII,266,92.6,gramineae_indet,NA
22,FAN,120,VII,266,92.6,hordeum_vulgare_ssp,NA
23,FAN,120,VII,266,92.6,hordeum_vulgare_ssp,19
24,FAN,120,VII,266,92.6,hordeum_vulgare_ssp,NA
25,FAN,120,VII,266,92.6,hordeum_vulgare_ssp,NA
26,FAN,120,VII,266,92.6,hordeum_vulgare_ssp,NA
27,FAN,120,VII,266,92.6,hordeum_vulgare_ssp,NA
28,FAN,120,VII,266,92.6,indet_frag,NA
29,FAN,120,VII,266,92.6,l_officinale,NA
30,FAN,120,VII,266,92.6,lathyrus,NA
31,FAN,120,VII,266,92.6,leguminosae,NA
32,FAN,120,VII,266,92.6,leguminosae,1
33,FAN,120,VII,266,92.6,lens_sp,2
34,FAN,120,VII,266,92.6,lens_sp,NA
35,FAN,120,VII,266,92.6,liliaceae_sp,NA
36,FAN,120,VII,266,92.6,lithospermum_arvense,3
37,FAN,120,VII,266,92.6,lithospermum_arvense,NA
38,FAN,120,VII,266,92.6,malva_parviflora,NA
39,FAN,120,VII,266,92.6,medicago_sp,NA
40,FAN,120,VII,266,92.6,cf_medicago_frag,NA
41,FAN,120,VII,266,92.6,monocotylidonae_capsules,NA
42,FAN,120,VII,266,92.6,phalaris_sp,NA
43,FAN,120,VII,266,92.6,pistacia_cf_lentiscus,NA
44,FAN,120,VII,266,92.6,pistacia_cf_lentiscus,NA
45,FAN,120,VII,266,92.6,pisum_cf_elatius,NA
46,FAN,120,VII,266,92.6,pisum_vicia_pisum_of_all_sizes,NA
47,FAN,120,VII,266,92.6,polygonum_sp,NA
48,FAN,120,VII,266,92.6,prunus_amygdalus,3
49,FAN,120,VII,266,92.6,prunus_amygdalus,NA
50,FAN,120,VII,266,92.6,pyrus_amygdaloformis,NA
51,FAN,120,VII,266,92.6,pyrus_amygdaloformis,NA
52,FAN,120,VII,266,92.6,rachis_frag_indet,NA
53,FAN,120,VII,266,92.6,schoenus_nigricans,NA
54,FAN,120,VII,266,92.6,seed_indet,NA
55,FAN,120,VII,266,92.6,indet_frag,NA
56,FAN,120,VII,266,92.6,sp_no_1,NA
57,FAN,120,VII,266,92.6,spikelet_fork_indet_frags,NA
58,FAN,120,VII,266,92.6,teucrium_sp,NA
59,FAN,120,VII,266,92.6,triticum_sp,NA
60,FAN,120,VII,266,92.6,t_cf_aestivum_durum,NA
61,FAN,120,VII,266,92.6,triticum_turgidum_ssp_dicoccum,4
62,FAN,120,VII,266,92.6,triticum_turgidum_ssp_dicoccum,NA
63,FAN,120,VII,266,92.6,triticum_turgidum_ssp_dicoccum,NA
64,FAN,120,VII,266,92.6,triticum_turgidum_ssp_dicoccum,NA
65,FAN,120,VII,266,92.6,triticum_turgidum_ssp_dicoccum,NA
66,FAN,120,VII,266,92.6,triticum_monococcum,NA
67,FAN,120,VII,266,92.6,triticum_monococcum,1
68,FAN,120,VII,266,92.6,triticum_monococcum,NA
69,FAN,120,VII,266,92.6,triticum_monococcum,NA
70,FAN,120,VII,266,92.6,uthospennum_dlicinale,NA
71,FAN,120,VII,266,92.6,vicia_ervilia,NA
72,FAN,120,VII,266,92.6,vicia_lathyrus_sp,NA
73,FAN,120,VII,266,92.6,vitis_vinifera_ssp_sylvestris,NA
74,FAN,120,VII,266,92.6,vitis_vinifera_ssp_sylvestris,NA
75,FAN,120,VII,266,92.6,triticum_sp,4
76,FAN,120,VII,266,92.6,hordeum_vulgare_ssp,19
77,FAN,121,VII,266,129.7,adonis_sp,NA
78,FAN,121,VII,266,129.7,alkanna_sp,NA
79,FAN,121,VII,266,129.7,anchusa_sp,NA
80,FAN,121,VII,266,129.7,astragalus_frigonella_sp,NA
81,FAN,121,VII,266,129.7,avena_sp,NA
82,FAN,121,VII,266,129.7,avena_sp,NA
83,FAN,121,VII,266,129.7,boraginaceae_sp,NA
84,FAN,121,VII,266,129.7,calendula_sp,NA
85,FAN,121,VII,266,129.7,capparis_sp,NA
86,FAN,121,VII,266,129.7,celtis_sp_tournifortii,NA
87,FAN,121,VII,266,129.7,cf_colchicum_polygonatum,NA
88,FAN,121,VII,266,129.7,coriandrum_sp,NA
89,FAN,121,VII,266,129.7,cruciferae_sp_seeds_capsules,1
90,FAN,121,VII,266,129.7,culm_nodes_indet_frags,NA
91,FAN,121,VII,266,129.7,echium_sp,NA
92,FAN,121,VII,266,129.7,erodium_sp,NA
93,FAN,121,VII,266,129.7,fumaria_sp,NA
94,FAN,121,VII,266,129.7,gallium_sp,NA
95,FAN,121,VII,266,129.7,glume_base_indet,NA
96,FAN,121,VII,266,129.7,gramineae_indet,NA
97,FAN,121,VII,266,129.7,gramineae_indet,4
98,FAN,121,VII,266,129.7,hordeum_vulgare_ssp,NA
99,FAN,121,VII,266,129.7,hordeum_vulgare_ssp,4
100,FAN,121,VII,266,129.7,hordeum_vulgare_ssp,10
101,FAN,121,VII,266,129.7,hordeum_vulgare_ssp,NA
102,FAN,121,VII,266,129.7,hordeum_vulgare_ssp,NA
103,FAN,121,VII,266,129.7,hordeum_vulgare_ssp,NA
104,FAN,121,VII,266,129.7,indet_frag,NA
105,FAN,121,VII,266,129.7,l_officinale,NA
106,FAN,121,VII,266,129.7,lathyrus,NA
107,FAN,121,VII,266,129.7,leguminosae,NA
108,FAN,121,VII,266,129.7,leguminosae,2
