unit,NISP_9,Monodonta,Patella,Murex,Cerithium,Cerastoderma,Tapes,Columbella,Donax,Cyclope,NISP,Trench
162,51,13.7,11.8,17.6,52.9,2,0,0,0,2,51,FAN
163,124,5.7,6.5,4,76.6,0,0,2.4,0,4.8,125,FAN
164,104,0,0,4.8,91.4,0,0,1,0,2.9,106,FAN
165,149,0,2,4,91.3,0,0,0.7,0,2,150,FAN
166,146,1.4,0.7,2.1,92.5,0,0,2,0,1.4,146,FAN
167,160,0.6,0.6,2.5,87.5,0,0,3.8,0,5,160,FAN
169,167,1.2,0,4.8,89.2,0,0,1.8,0,3,169,FAN
170,208,0.5,1,1,88.9,1,0,2.4,0,4.8,208,FAN
171,29,3.5,3.5,3.4,86.2,0,0,0,0,3.4,29,FAN
172,271,0.4,5.5,6.6,69,0.4,0,2.6,0,15,273,FAN
173,1,0,0,100,0,0,0,0,0,0,2,FAN
174,79,0,12.7,3.8,74.7,0,0,5.1,0,3.8,79,FAN
175,110,0.9,6.4,3.6,45.5,0.9,0,3.6,0,39.1,111,FAN
176,123,0,6.5,2.4,54.5,0.8,0,4.1,0,31.7,124,FAN
177,100,1,9,3,43,0,0,3,0,41,101,FAN
179,119,1.7,5,5.9,25.2,1.7,0,4.2,0,56,119,FAN
180,38,0,15.8,23.7,0,0,0,5.3,0,55.3,38,FAN
181,6,0,0,16.7,16.7,0,0,0,0,66.6,6,FAN
182,74,0,13.5,6.8,23,1.4,0,6.8,0,48.6,74,FAN
183,103,0,3.9,2.9,28.2,0,0,4.9,0,60.1,103,FAN
184,32,0,15.6,0,28.1,0,0,6.3,0,50,32,FAN
185,72,1.4,5.6,8.3,8.3,5.6,0,5.6,0,65.3,73,FAN
186,60,0,8.3,6.7,26.7,8.3,0,6.7,0,43.3,62,FAN
187,219,0.5,4.1,2.3,38.4,1.4,0,6.9,0,46.6,222,FAN
188,120,0.8,7.5,2.5,50.8,1.7,0,16.7,0,20,120,FAN
189,88,0,20.5,9.1,47.7,0,0,3.4,0,19.3,88,FAN
190,14,0,7.1,0,71.4,0,0,0,0,21.4,15,FAN
191,31,3.2,9.7,6.5,58,0,0,9.7,0,12.9,31,FAN
192,43,0,11.6,23.3,30.2,2.3,0,11.6,0,20.9,44,FAN
217,54,0,0,0,40.7,1.9,0,0,0,57.4,54,FAN
218,152,0.7,2.6,4.6,44.7,0.7,0,1.3,0,45.4,152,FAN
73,113,21.2,8.9,5.3,18.6,1.8,41.6,0,1.8,0,119,FAS
74,221,22.6,5,0.9,27.2,1.4,16.7,6.3,19,0.9,231,FAS
75,91,13.2,2.2,1.1,38.4,3.3,4.4,4.4,29.7,3.3,93,FAS
76,999,8.1,3.1,1.7,23.6,0.8,1.4,0.7,60.2,0.4,1006,FAS
