NISP,Crab Indet,Pices Indet.,Sea bream Indet,Sparus sp.,Diplodus sp.,Pagrus sp.,Dicentrarchus labrax,Thunnus thynnus,Small Bird,Medium Bird,Chiroptera,Rodent,Erinaceus europaeus,Lepus europaeus,Sm Mammal,Med Mammal,Equid sp.,Cervidae,Cervus elaphus,Bos taurus,Sus scrofus,Capra hircus,Capra/Ovis,Ovis aries,Small Ungulate,Med Ungulate,Large Ungulate,Huge Ungulate,Small Carnivore,Felis sp.,Lynx lynx,Vulpes vulpes,Canis familaris,Meles meles
129,,30,,,,,,,1,,,,,38,6,,,,,,5,,30,1,64,5,5,,3,,,,1,
130,,6,,1,,,,,,,,,,3,,,,,,,1,,11,,6,,1,,,,,,,
131,,30,,,1,,,1,,,,,,8,4,,,1,4,,10,,14,19,36,1,8,,3,,,3,6,
132,,12,,1,,,,,,,,,1,13,6,3,,,2,,9,,53,,43,8,5,,,,,5,3,
133,,,,,,,,,,,,,,1,,,,,1,,,,20,,6,,,,,,,,,
134,,6,,1,,,,2,,,,,,9,10,,1,1,9,1,12,,31,8,79,8,7,1,4,,,1,3,
135,,2,,,,,,,,,,,,,3,,,,,,,,1,1,7,,2,,,,,,,
136,,3,,2,,,,,,,,,2,3,6,2,,,,,10,,58,1,23,2,2,,,,,1,2,
137,,1,,,,,,,,,,,,2,3,,,,1,,14,,18,1,18,6,,,,,1,1,,
144,,6,2,,,,,2,,,,,,8,5,1,,,1,,8,,55,7,52,,2,2,,,,2,,
145,,6,,,,,,1,,,,,,,,,,,1,,5,,5,1,15,1,,1,,,,,,
146,,,,2,,,1,,,,,,,,2,,,,2,1,9,,23,1,15,1,,1,,,2,2,,
147,,1,,,,,,,,,,,,,,,,,,,1,,3,1,14,3,,2,1,,,,,
148,,9,2,,,2,,,,,,,,5,3,,,,3,2,2,,6,3,21,1,3,3,1,,,1,,
149,,,,,,,,,,,,,,2,,,,1,,,2,,3,,3,1,,,,,,,,1
150,,,,,,,,,,1,,,,3,2,1,,2,,,,1,9,,13,4,,1,,,,1,,
151,,,,,,,,,,1,,,1,7,12,,,2,,,4,,18,19,51,6,3,,5,,,6,,
154,,,,,,,,,,1,,,2,,2,,,1,,1,,,41,15,31,2,,,,,,7,,
156,,,,,,,,,,,,,,2,3,1,,2,1,,1,,29,2,30,3,,1,,,,5,,
157,,,,,,,,,,,,,,,,,,,,,,,2,2,5,,,,,,,,,
158,,1,,,,,,,,,,1,,1,1,,,,1,1,,1,10,2,16,3,2,,,1,,3,,
159,,,,,,,,,,,,,1,3,5,,,,,,1,1,15,1,14,,,,,,,,,
160,,,,,,,,,,,,,11,2,4,,,1,,,2,,22,2,14,2,1,,1,,,3,,
