"","trenchunit","fishes_non_tuna","tuna","birds","small_mammal","hare","medium_mammal","equid","cervidae","bos","sus_scrofa","caprines","small_ungulate","med_ungulate","large_ungulate","small_carnivore","domestic_dog","cattle","pig","caprine","molluscs"
"46","FAN_157",0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,4
"47","FAN_158",1,0,0,1,1,0,0,1,1,0,13,16,3,2,4,0,0,0,0,40
"48","FAN_159",0,0,0,6,3,0,0,0,0,1,17,14,0,0,0,0,0,0,0,42
"49","FAN_160",0,0,0,15,2,0,0,1,0,2,24,14,2,1,4,0,0,0,0,36
"50","FAN_59",2,0,0,0,0,0,0,17,0,1,7,0,0,1,0,1,0,0,0,NA
"51","FAN_60",0,0,0,0,3,0,0,7,1,7,8,8,2,8,0,0,0,0,0,NA
"52","FAN_61",2,0,0,5,0,0,0,5,1,2,20,0,0,8,0,0,0,0,0,NA
"53","FAN_62",0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,NA
"54","FAN_63",0,0,0,2,1,0,0,2,1,0,18,0,2,0,0,0,0,0,0,NA
"55","FAN_64",3,0,0,0,1,0,0,1,5,1,14,9,2,9,0,1,0,0,0,NA
"56","FAN_65",0,0,0,0,0,0,0,0,0,1,7,0,3,0,0,0,0,0,0,NA
"57","FAN_66",1,0,0,0,1,0,0,3,3,3,47,0,0,6,0,0,0,0,0,NA
"58","FAN_67",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,NA
"59","FAN_68",0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,NA
"60","FAN_69",0,0,0,0,0,0,0,0,0,3,28,5,5,6,0,0,0,0,0,NA
"61","FAN_70",0,0,0,0,0,0,0,0,2,0,17,0,0,2,0,0,0,0,0,NA
"62","FAN_71",0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,NA
"63","FAN_72",0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,NA
"64","FAN_73",0,0,0,0,3,0,0,1,0,1,20,7,7,1,0,1,0,0,0,NA
"65","FAN_74",0,0,0,0,0,1,0,0,1,0,15,0,0,0,0,1,0,0,0,NA
"66","FAN_75",0,0,0,1,0,0,0,0,2,1,6,3,1,0,0,0,0,0,0,NA
"67","FAN_76",1,0,0,0,0,0,0,0,0,1,6,4,2,3,0,0,0,0,0,NA
"68","FAN_77",3,0,0,0,2,0,0,0,0,0,38,0,0,0,0,1,0,0,0,NA
"69","FAN_78",0,0,0,1,0,0,0,1,0,0,7,6,2,0,0,0,0,0,0,NA
"70","FAN_79",0,1,0,0,0,0,0,0,0,5,5,5,1,2,1,0,0,0,0,NA
"71","FAN_80",0,0,0,3,0,0,0,3,0,4,19,0,0,0,0,1,0,0,0,NA
"72","FAN_81",0,1,0,0,0,0,0,1,1,1,10,6,1,1,0,0,0,0,0,NA
"73","FAN_82",0,1,0,0,0,0,0,1,0,0,17,0,1,0,0,0,0,0,0,NA
